artistId	channelId	Recently Uploaded Videos	Upload Times
234	UCz4TqVes6nggOlTSqKfvdkA	[u'EdPrdzpI_Zw', u'6ONTkLyxj9w', u'XTHEf5WB_Cs', u'nHJhpdaLWJA', u'Sb6XmtwEiMg']	[u'2014-10-29T19:27:59.000Z', u'2014-10-29T19:19:37.000Z', u'2014-08-10T12:51:37.000Z', u'2014-08-10T12:49:33.000Z', u'2014-08-10T12:49:28.000Z']
264	UCBgOvSeegP11m_MIZab9oMg	[]	[]
281	UCYtxcCzHCJjmjhHKH6AEsxQ	[u'thIVtEOtlWM', u'pAv7L3HnV1k']	[u'2012-12-18T08:01:00.000Z', u'2012-07-27T04:00:08.000Z']
292	UCx1f1u4XlFFr0YgqF3wB4lQ	[]	[]
372	UCxYCtNOdDsR1zVp4qpj2JFA	[]	[]
399	UCvqvrS2l3R8QNP-3HqobqOw	[u'GjHB9dVLDkg', u'sQuKaSRaVW4', u'ejaRXUb15bA']	[u'2014-08-11T07:00:00.000Z', u'2013-07-09T03:14:46.000Z', u'2013-07-09T02:46:04.000Z']
417	UCcfZW0F_26w4dVv7XBNc0xw	[u'Nwo-xezj7Ts']	[u'2009-10-27T02:18:43.000Z']
443	UCO2gpkWwgxeGvlg5ThMB87w	[u'2Qfq7EjjYO8', u'gx2Mc5K9VO0']	[u'2014-02-24T18:52:03.000Z', u'2009-01-09T20:50:32.000Z']
463	UCxevthe6lW0KvHstf_wCYgQ	[u'8JKUwQAO32I', u'cHTt_MZ779Q', u'7mq-LpvmlAg', u'biR6V1rnvNk']	[u'2011-01-25T06:15:10.000Z', u'2010-02-02T09:23:28.000Z', u'2010-02-02T08:01:47.000Z', u'2010-02-01T21:55:33.000Z']
527	UCbFuTMITCGAgH_ANpYhPBxg	[]	[]
561	UCXcqVk-TeQKzJPCtppktKKQ	[]	[]
615	UC-k20_TfuljV-1lOl3D-rpg	[u'ONWciSvcvSs']	[u'2011-11-11T23:03:00.000Z']
659	UCqa2orvpNtwg_Ak6YB_J4HQ	[u'M4cBJbWaGuw', u'kk1FXocoqHY', u'PM1qWkO1wvA', u'bKkKV8i5o88']	[u'2014-10-15T18:36:52.000Z', u'2014-08-20T17:09:04.000Z', u'2014-05-11T19:52:04.000Z', u'2014-04-27T18:04:46.000Z']
715	UCS7Z__UPeaTzF6uB49zY6Cw	[u'YQZZjTi1xv4', u'aN8wyr7vJR4', u'HlbS4ed6exY', u'lb8Z9weHlLk']	[u'2013-10-24T17:02:58.000Z', u'2013-08-19T20:56:42.000Z', u'2012-04-27T03:42:22.000Z', u'2012-02-10T20:41:12.000Z']
738	UCem1i2aEYYszzOupfh6g2Ug	[u'OFlYM7NjRh4', u'pBml8tMrHeg', u'VnGw8qxQ-AY', u'A-Y07wRMVFs', u'DVO-ovVhxxw']	[u'2014-08-31T11:56:06.000Z', u'2014-08-31T11:54:00.000Z', u'2014-08-31T11:52:47.000Z', u'2014-08-31T11:52:30.000Z', u'2014-08-31T11:50:55.000Z']
768	UCczt-rLeR-OAdABaioJnLzA	[u'0K6XCy8PJMg', u'LkSvI89Rgvw', u'fQCuZE8I8xA', u'xlfCyHbLdpI']	[u'2013-05-02T21:55:01.000Z', u'2013-04-11T17:45:49.000Z', u'2012-10-19T19:25:29.000Z', u'2012-09-28T22:23:41.000Z']
863	UCakbeXKVr0gPtcwOlkHKptg	[u'BTlDJ9YFaAQ', u'ZCvSBVDZTDE', u'xe0CZxfS-fw', u'5s-k8Q_40cA']	[u'2014-11-11T09:23:05.000Z', u'2014-08-29T21:15:02.000Z', u'201artistId	channelId	Recently Uploaded Videos	Upload Times
27	UC6fNFq6P05S7EJucN3i24Lw	[u'ybjpIt9oPuo']	[u'2013-04-04T14:00:15.000Z']
56	UCoO96UN3gv5WohJA8QuMgXQ	[u'R3FAZpRA-OI', u'3x212GE-6cE', u'soovJdzPpQE', u'4Vh7aMNRaa8']	[u'2014-11-04T22:57:18.000Z', u'2014-05-21T23:21:32.000Z', u'2013-08-02T20:14:13.000Z', u'2013-07-21T16:53:19.000Z']
86	UC_yGU4qz9zAjEWLQxCg9NZQ	[]	[]
110	UCJQa4Ah9-Qf36bl1JhkAaYA	[u'tJfIeqbwNcA', u'BrjLSjoe_HQ']	[u'2014-08-21T20:16:57.000Z', u'2014-08-21T02:06:40.000Z']
118	UCiMhD4jzUqG-IgPzUmmytRQ	[u'5jIbWOhOev0', u'3qvpWklQ6Ic']	[u'2014-12-12T14:20:00.000Z', u'2014-12-08T12:00:11.000Z']
140	UCFhSm5HFBvZkldbOxeVoidQ	[]	[]
166	UCQRN3HKxukiY4pMp0WIzB-w	[u'krerAw_scrk', u'LmwTbfLdD5U', u'4hNd52xZRGs', u'yy0UTcGkt7I', u'GlNAbqQWsuM']	[u'2014-11-24T17:38:44.000Z', u'2014-11-16T20:00:19.000Z', u'2014-11-16T19:27:44.000Z', u'2014-11-16T19:10:56.000Z', u'2014-11-12T21:40:42.000Z']
204	UCI3EFb2lvZyBMykNd64JDhg	[]	[]
221	UCFUr7C8sl4BULKoDowI18EA	[u'ctKlODqZIAg', u'5Om_qWVdCuc', u'HcXgUMC7WwU', u'5EsNA982fG4']	[u'2014-11-10T04:37:55.000Z', u'2014-11-07T15:21:27.000Z', u'2014-10-27T04:02:58.000Z', u'2014-10-10T05:43:07.000Z']
250	UCN0yeXZgAizy8VhiLj0-tIg	[u'UYmN99vhVUM', u'gB6syivn-jI', u'ipoD5WHogLc', u'JK-IpdBCHAg']	[u'2014-12-13T13:00:35.000Z', u'2014-12-13T13:00:27.000Z', u'2014-12-13T13:00:19.000Z', u'2014-12-13T13:00:19.000Z']
274	UC9_6c5WX1vzk6hIIRdMudXQ	[u'AippCtfMRzg', u'ffAu805zbtg', u'L2mxW-7ZNFg']	[u'2014-05-15T19:28:56.000Z', u'2012-11-20T18:09:38.000Z', u'2012-06-21T20:10:38.000Z']
287	UClBVV9ZvFRdEGTDCGSkNysA	[]	[]
301	UCStavK-JVguLack8Mg8uXpA	[u'B2EH0JdKnXI', u'JoEksvHOGdE', u'tFHtky6N5yc']	[u'2014-12-12T19:00:52.000Z', u'2014-12-10T11:51:19.000Z', u'2014-12-08T11:48:21.000Z']
